STATE,#,MAKER,JAN,FEB,MAR,APR,MAY,TOTAL,,,,
Uttar Pradesh(77),42,SOKUDO ELECTRIC INDIA PVT LTD,48,29,19,37,22,155,,,,
Uttar Pradesh(77),43,SUZUKI MOTORCYCLE INDIA PVT LTD,27,12,11,8,5,63,,,,
Uttar Pradesh(77),44,TVS MOTOR COMPANY LTD,"3,633","3,047","4,848","3,462","3,538","18,528",,,,
Uttar Pradesh(77),45,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,3,4,0,6,3,16,,,,
Uttar Pradesh(77),46,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),1,1,0,0,1,3,,,,
Uttar Pradesh(77),47,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,39,14,26,26,20,125,,,,
Uttar Pradesh(77),48,WARIVO MOTOR INDIA PVT LTD,4,4,7,2,6,23,,,,
Uttar Pradesh(77),49,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0,0,0,1,0,1,,,,
Uttar Pradesh(77),50,WUXI TENGHUI (IMPORTER: NXTMOBILITY ENERGY),0,0,0,0,15,15,,,,
Uttar Pradesh(77),51,YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),1,0,0,1,0,2,,,,
Uttar Pradesh(77),52,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),1,0,0,0,0,1,,,,
Uttar Pradesh(77),53,ZELIO E-MOBILITY LTD,0,1,1,1,0,3,,,,
West Bengal(59),1,ATHER ENERGY LTD,254,241,430,289,328,"1,542",,,,
West Bengal(59),2,BAJAJ AUTO LTD,343,459,"1,166",485,790,"3,243",,,,
West Bengal(59),3,BATTRE ELECTRIC MOBLITY PVT LTD,1,1,0,2,0,4,,,,
West Bengal(59),4,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,3,0,0,1,1,5,,,,
West Bengal(59),5,GODAWARI ELECTRIC MOTORS PVT LTD,0,1,0,0,0,1,,,,
West Bengal(59),6,GREAVES ELECTRIC MOBILITY LTD,187,154,244,159,220,964,,,,
West Bengal(59),7,HERO MOTOCORP LTD,461,492,939,638,763,"3,293",,,,
West Bengal(59),8,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,2,9,14,25,,,,
West Bengal(59),9,INDIA YAMAHA MOTOR PVT LTD,0,0,0,2,4,6,,,,
West Bengal(59),10,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,3,0,1,1,6,,,,
West Bengal(59),11,KLB KOMAKI PVT LTD,3,8,5,4,4,24,,,,
West Bengal(59),12,LECTRIX E VEHICLES PVT LTD,2,5,2,2,3,14,,,,
West Bengal(59),13,LIMA VEHICLE (IMPORTER: SARAOGI E-VENTURES),2,12,12,2,1,29,,,,
West Bengal(59),14,MOTOVOLT MOBILITY PVT LTD,43,5,138,3,107,296,,,,
West Bengal(59),15,OBEN ELECTRIC VEHICLES PVT LTD,5,9,3,6,3,26,,,,
West Bengal(59),16,OLA ELECTRIC TECHNOLOGIES PVT LTD,284,213,276,327,579,"1,679",,,,
West Bengal(59),17,OPG MOBILITY AND POWER PVT LTD,6,9,2,0,1,18,,,,
West Bengal(59),18,ORA GROUP (IMPORTER: VAKRA TUNDAYA NAMAHA PVT LTD),1,1,0,0,1,3,,,,
West Bengal(59),19,REVOLT INTELLICORP PVT LTD,26,16,34,29,20,125,,,,
West Bengal(59),20,SIMPLEENERGY PVT LTD,0,0,13,13,13,39,,,,
West Bengal(59),21,SOKUDO ELECTRIC INDIA PVT LTD,1,0,0,0,0,1,,,,
West Bengal(59),22,SUZUKI MOTORCYCLE INDIA PVT LTD,6,11,7,7,8,39,,,,
West Bengal(59),23,TVS MOTOR COMPANY LTD,284,386,514,434,480,"2,098",,,,
West Bengal(59),24,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,17,13,11,19,19,79,,,,
West Bengal(59),25,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,5,1,0,0,7,,,,
